AgeBand,Gender,SmokingStatus,BMIBand,ExerciseFreq,PredictedProbability
30-34,F,never,obese,no,0.05654424
30-34,F,never,obese,yes,0.03213347
30-34,F,never,over,no,0.03034844
30-34,F,never,over,yes,0.01704240
30-34,F,never,under,no,0.01392513
30-34,F,never,under,yes,0.00776212
30-34,M,current,normal,no,0.02991124
30-34,M,current,normal,yes,0.01679357
30-34,M,current,obese,no,0.07926680
30-34,M,current,obese,yes,0.04551974
30-34,M,current,over,no,0.04302415
30-34,M,current,over,yes,0.02429982
30-34,M,current,under,no,0.01988192
30-34,M,current,under,yes,0.01111226
30-34,M,former,normal,no,0.03044613
30-34,M,former,normal,yes,0.01709802
30-34,M,former,obese,no,0.08061095
30-34,M,former,obese,yes,0.04632042
30-34,M,former,over,no,0.04378296
30-34,M,former,over,yes,0.02473692
30-34,M,former,under,no,0.02024121
30-34,M,former,under,yes,0.01131489
30-34,M,never,normal,no,0.02714559
30-34,M,never,normal,yes,0.01522177
30-34,M,never,obese,no,0.07227765
30-34,M,never,obese,yes,0.04137245
30-34,M,never,over,no,0.03909492
30-34,M,never,over,yes,0.02204122
30-34,M,never,under,no,0.01802637
30-34,M,never,under,yes,0.01006676
35-39,F,current,normal,no,0.03067084
35-39,F,current,normal,yes,0.01722596
35-39,F,current,obese,no,0.08117491
35-39,F,current,obese,yes,0.04665666
35-39,F,current,over,no,0.04410162
35-39,F,current,over,yes,0.02492058
35-39,F,current,under,no,0.02039218
35-39,F,current,under,yes,0.01140007
35-39,F,former,normal,no,0.03121888
35-39,F,former,normal,yes,0.01753811
35-39,F,former,obese,no,0.08254852
35-39,F,former,obese,yes,0.04747634
35-39,F,former,over,no,0.04487853
35-39,F,former,over,yes,0.02536856
35-39,F,former,under,no,0.02076049
35-39,F,former,under,yes,0.01160789
35-39,F,never,normal,no,0.02783697
35-39,F,never,normal,yes,0.01561434
35-39,F,never,obese,no,0.07403104
35-39,F,never,obese,yes,0.04241038
35-39,F,never,over,no,0.04007811
35-39,F,never,over,yes,0.02260562
35-39,F,never,under,no,0.01848991
35-39,F,never,under,yes,0.01032777
35-39,M,current,normal,no,0.03950645
35-39,M,current,normal,yes,0.02227740
35-39,M,current,obese,no,0.10301347
35-39,M,current,obese,yes,0.05981327
35-39,M,current,over,no,0.05658050
35-39,M,current,over,yes,0.03215461
35-39,M,current,under,no,0.02634721
35-39,M,current,under,yes,0.01476876
35-39,M,former,normal,no,0.04020582
35-39,M,former,normal,yes,0.02267897
35-39,M,former,obese,no,0.10471451
35-39,M,former,obese,yes,0.06084934
35-39,M,former,over,no,0.05756401
35-39,M,former,over,yes,0.03272827
35-39,M,former,under,no,0.02682013
35-39,M,former,under,yes,0.01503706
35-39,M,never,normal,no,0.03588643
35-39,M,never,normal,yes,0.02020289
35-39,M,never,obese,no,0.09414461
35-39,M,never,obese,yes,0.05443797
35-39,M,never,over,no,0.05147982
35-39,M,never,over,yes,0.02918778
35-39,M,never,under,no,0.02390298
35-39,M,never,under,yes,0.01338390
40-44,F,current,normal,no,0.05122128
40-44,F,current,normal,yes,0.02903776
40-44,F,current,obese,no,0.13099174
40-44,F,current,obese,yes,0.07706652
40-44,F,current,over,no,0.07297363
40-44,F,current,over,yes,0.04178424
40-44,F,current,under,no,0.03429928
40-44,F,current,under,yes,0.01929550
40-44,F,former,normal,no,0.05211678
40-44,F,former,normal,yes,0.02955751
40-44,F,former,obese,no,0.13308623
40-44,F,former,obese,yes,0.07837654
40-44,F,former,over,no,0.07421967
40-44,F,former,over,yes,0.04252214
40-44,F,former,under,no,0.03490982
40-44,F,former,under,yes,0.01964440
40-44,F,never,normal,no,0.04657987
40-44,F,never,normal,yes,0.02635068
40-44,F,never,obese,no,0.12003646
40-44,F,never,obese,yes,0.07025657
40-44,F,never,over,no,0.06649929
40-44,F,never,over,yes,0.03796375
40-44,F,never,under,no,0.03114093
40-44,F,never,under,yes,0.01749370
40-44,M,current,normal,no,0.06557652
40-44,M,current,normal,yes,0.03742108
40-44,M,current,obese,no,0.16384271
40-44,M,current,obese,yes,0.09791758
40-44,M,current,over,no,0.09282871
40-44,M,current,over,yes,0.05364420
40-44,M,current,under,no,0.04413258
40-44,M,current,under,yes,0.02493842
40-44,M,former,normal,no,0.06670534
40-44,M,former,normal,yes,0.03808499
40-44,M,former,obese,no,0.16636191
40-44,M,former,obese,yes,0.09954381
40-44,M,former,over,no,0.09437926
40-44,M,former,over,yes,0.05457962
40-44,M,former,under,no,0.04491001
40-44,M,former,under,yes,0.02538671
40-44,M,never,normal,no,0.05971619
40-44,M,never,normal,yes,0.03398538
40-44,M,never,obese,no,0.15061617
40-44,M,never,obese,yes,0.08944370
40-44,M,never,over,no,0.08475384
40-44,M,never,over,yes,0.04879453
40-44,M,never,under,no,0.04010636
40-44,M,never,under,yes,0.02262185
45-49,F,current,normal,no,0.08297502
45-49,F,current,normal,yes,0.04773107
45-49,F,current,obese,no,0.20168552
45-49,F,current,obese,yes,0.12276932
45-49,F,current,over,no,0.11655575
45-49,F,current,over,yes,0.06810761
45-49,F,current,under,no,0.05618374
45-49,F,current,under,yes,0.03192334
45-49,F,former,normal,no,0.08437629
45-49,F,former,normal,yes,0.04856867
45-49,F,former,obese,no,0.20464418
45-49,F,former,obese,yes,0.12475121
45-49,F,former,over,no,0.11845088
45-49,F,former,over,yes,0.06927678
45-49,F,former,under,no,0.05716077
45-49,F,former,under,yes,0.03249300
45-49,F,never,normal,no,0.07568579
45-49,F,never,normal,yes,0.04339146
45-49,F,never,obese,no,0.18608391
45-49,F,never,obese,yes,0.11241275
45-49,F,never,over,no,0.10665962
45-49,F,never,over,yes,0.06203610
45-49,F,never,under,no,0.05111689
45-49,F,never,under,yes,0.02897720
45-49,M,current,normal,no,0.10524240
45-49,M,current,normal,yes,0.06117121
45-49,M,current,obese,no,0.24722185
45-49,M,current,obese,yes,0.15392346
45-49,M,current,over,no,0.14639627
45-49,M,current,over,yes,0.08676263
45-49,M,current,under,no,0.07182447
45-49,M,current,under,yes,0.04110446
45-49,M,former,normal,no,0.10697585
45-49,M,former,normal,yes,0.06222925
45-49,M,former,obese,no,0.25063878
45-49,M,former,obese,yes,0.15631866
45-49,M,former,over,no,0.14869493
45-49,M,former,over,yes,0.08822171
45-49,M,former,under,no,0.07305244
45-49,M,former,under,yes,0.04183088
45-49,M,never,normal,no,0.09620222
45-49,M,never,normal,yes,0.05568110
45-49,M,never,obese,no,0.22910866
45-49,M,never,obese,yes,0.14136230
45-49,M,never,over,no,0.13435184
45-49,M,never,over,yes,0.07916938
45-49,M,never,under,no,0.06544489
45-49,M,never,under,yes,0.03734370
50-54,F,current,normal,no,0.11897547
50-54,F,current,normal,yes,0.06960078
50-54,F,current,obese,no,0.27381225
50-54,F,current,obese,yes,0.17278225
50-54,F,current,over,no,0.16451214
50-54,F,current,over,yes,0.09834934
50-54,F,current,under,no,0.08159450
50-54,F,current,under,yes,0.04690694
50-54,F,former,normal,no,0.12090456
50-54,F,former,normal,yes,0.07079363
50-54,F,former,obese,no,0.27746124
50-54,F,former,obese,yes,0.17541007
50-54,F,former,over,no,0.16703959
50-54,F,former,over,yes,0.09998195
50-54,F,former,under,no,0.08297457
50-54,F,former,under,yes,0.04773080
50-54,F,never,normal,no,0.10889922
50-54,F,never,normal,yes,0.06340522
50-54,F,never,obese,no,0.25440927
50-54,F,never,obese,yes,0.15897125
50-54,F,never,over,no,0.15124134
50-54,F,never,over,yes,0.08984181
50-54,F,never,under,no,0.07441670
50-54,F,never,under,yes,0.04263890
50-54,M,current,normal,no,0.14933077
50-54,M,current,normal,yes,0.08862589
50-54,M,current,obese,no,0.32892361
50-54,M,current,obese,yes,0.21353838
50-54,M,current,over,no,0.20379811
50-54,M,current,over,yes,0.12418387
50-54,M,current,under,no,0.10353323
50-54,M,current,under,yes,0.06012967
50-54,M,former,normal,no,0.15166732
50-54,M,former,normal,yes,0.09011321
50-54,M,former,obese,no,0.33297029
50-54,M,former,obese,yes,0.21662373
50-54,M,former,over,no,0.20677974
50-54,M,former,over,yes,0.12618532
50-54,M,former,under,no,0.10524185
50-54,M,former,under,yes,0.06117087
50-54,M,never,normal,no,0.13708368
50-54,M,never,normal,yes,0.08088402
50-54,M,never,obese,no,0.30726775
50-54,M,never,obese,yes,0.19724643
50-54,M,never,over,no,0.18807158
50-54,M,never,over,yes,0.11372345
50-54,M,never,under,no,0.09462434
50-54,M,never,under,yes,0.05472759
55-59,F,current,normal,no,0.14211628
55-59,F,current,normal,yes,0.08405439
55-59,F,current,obese,no,0.31625832
55-59,F,current,obese,yes,0.20396565
55-59,F,current,over,no,0.19455402
55-59,F,current,over,yes,0.11801574
55-59,F,current,under,no,0.09827570
55-59,F,current,under,yes,0.05693624
55-59,F,former,normal,no,0.14435910
55-59,F,former,normal,yes,0.08547220
55-59,F,former,obese,no,0.32022354
55-59,F,former,obese,yes,0.20694909
55-59,F,former,over,no,0.19743393
55-59,F,former,over,yes,0.11993139
55-59,F,former,under,no,0.09990722
55-59,F,former,under,yes,0.05792555
55-59,F,never,normal,no,0.13037019
55-59,F,never,normal,yes,0.07667826
55-59,F,never,obese,no,0.29506968
55-59,F,never,obese,yes,0.18822925
55-59,F,never,over,no,0.17938012
55-59,F,never,over,yes,0.10801080
55-59,F,never,under,no,0.08977391
55-59,F,never,under,yes,0.05180525
55-59,M,current,normal,no,0.17718829
55-59,M,current,normal,yes,0.10657777
55-59,M,current,obese,no,0.37549544
55-59,M,current,obese,yes,0.24985567
55-59,M,current,over,no,0.23896217
55-59,M,current,over,yes,0.14816735
55-59,M,current,under,no,0.12409356
55-59,M,current,under,yes,0.07277030
55-59,M,former,normal,no,0.17986855
55-59,M,former,normal,yes,0.10833056
55-59,M,former,obese,no,0.37979082
55-59,M,former,obese,yes,0.25329676
55-59,M,former,over,no,0.24230170
55-59,M,former,over,yes,0.15048891
55-59,M,former,under,no,0.12609376
55-59,M,former,under,yes,0.07401315
55-59,M,never,normal,no,0.16309454
55-59,M,never,normal,yes,0.09743537
55-59,M,never,obese,no,0.35238344
55-59,M,never,obese,yes,0.23160888
55-59,M,never,over,no,0.22127626
55-59,M,never,over,yes,0.13600042
55-59,M,never,under,no,0.11363976
55-59,M,never,under,yes,0.06631271
60-64,F,current,normal,no,0.17519203
60-64,F,current,normal,yes,0.10527525
60-64,F,current,obese,no,0.37227584
60-64,F,current,obese,yes,0.24728677
60-64,F,current,over,no,0.23646997
60-64,F,current,over,yes,0.14643986
60-64,F,current,under,no,0.12260635
60-64,F,current,under,yes,0.07184773
60-64,F,former,normal,no,0.17784863
60-64,F,former,normal,yes,0.10700918
60-64,F,former,obese,no,0.37655660
60-64,F,former,obese,yes,0.25070430
60-64,F,former,over,no,0.23978564
60-64,F,former,over,yes,0.14873909
60-64,F,former,under,no,0.12458599
60-64,F,former,under,yes,0.07307606
60-64,F,never,normal,no,0.16122596
60-64,F,never,normal,yes,0.09623255
60-64,F,never,obese,no,0.34925118
60-64,F,never,obese,yes,0.22917027
60-64,F,never,over,no,0.21891545
60-64,F,never,over,yes,0.13439241
60-64,F,never,under,no,0.11226177
60-64,F,never,under,yes,0.06546623
60-64,M,current,normal,no,0.21636791
60-64,M,current,normal,yes,0.13266141
60-64,M,current,obese,no,0.43532505
60-64,M,current,obese,yes,0.29925937
60-64,M,current,over,no,0.28703611
60-64,M,current,over,yes,0.18235206
60-64,M,current,under,no,0.15372639
60-64,M,current,under,yes,0.09142668
60-64,M,former,normal,no,0.21948274
60-64,M,former,normal,yes,0.13477846
60-64,M,former,obese,no,0.43982283
60-64,M,former,obese,yes,0.30310594
60-64,M,former,over,no,0.29079077
60-64,M,former,over,yes,0.18509286
60-64,M,former,under,no,0.15611909
60-64,M,former,under,yes,0.09295621
60-64,M,never,normal,no,0.19991495
60-64,M,never,normal,yes,0.12158603
60-64,M,never,obese,no,0.41095380
60-64,M,never,obese,yes,0.27874533
60-64,M,never,over,no,0.26704066
60-64,M,never,over,yes,0.16793141
60-64,M,never,under,no,0.14117863
60-64,M,never,under,yes,0.08346255
65-69,F,current,normal,no,0.18316643
65-69,F,current,normal,yes,0.11049350
65-69,F,current,obese,no,0.38503336
65-69,F,current,obese,yes,0.25751821
65-69,F,current,over,no,0.24640037
65-69,F,current,over,yes,0.15334884
65-69,F,current,under,no,0.12856024
65-69,F,current,under,yes,0.07554897
65-69,F,former,normal,no,0.18591669
65-69,F,former,normal,yes,0.11230260
65-69,F,former,obese,no,0.38936983
65-69,F,former,obese,yes,0.26102811
65-69,F,former,over,no,0.24980972
65-69,F,former,over,yes,0.15573675
65-69,F,former,under,no,0.13062169
65-69,F,former,under,yes,0.07683534
65-69,F,never,normal,no,0.16869467
65-69,F,never,normal,yes,0.10105321
65-69,F,never,obese,no,0.36167429
65-69,F,never,obese,yes,0.23889003
65-69,F,never,over,no,0.22832911
65-69,F,never,over,yes,0.14082677
65-69,F,never,under,no,0.11778075
65-69,F,never,under,yes,0.06886311
65-69,M,current,normal,no,0.22570368
65-69,M,current,normal,yes,0.13902621
65-69,M,current,obese,no,0.44869878
65-69,M,current,obese,yes,0.31075340
65-69,M,current,over,no,0.29826049
65-69,M,current,over,yes,0.19057706
65-69,M,current,under,no,0.16091433
65-69,M,current,under,yes,0.09603217
65-69,M,former,normal,no,0.22891364
65-69,M,former,normal,yes,0.14122829
65-69,M,former,obese,no,0.45322383
65-69,M,former,obese,yes,0.31468137
65-69,M,former,over,no,0.30209976
65-69,M,former,over,yes,0.19341225
65-69,M,former,under,no,0.16339731
65-69,M,former,under,yes,0.09763047
65-69,M,never,normal,no,0.20872991
65-69,M,never,normal,yes,0.12749757
65-69,M,never,obese,no,0.42414119
65-69,M,never,obese,yes,0.28977727
65-69,M,never,over,no,0.27778778
65-69,M,never,over,yes,0.17564570
65-69,M,never,under,no,0.14788239
65-69,M,never,under,yes,0.08770559
70-74,F,current,normal,no,0.19867779
70-74,F,current,normal,yes,0.12076044
70-74,F,current,obese,no,0.40907839
70-74,F,current,obese,yes,0.27718934
70-74,F,current,over,no,0.26552595
70-74,F,current,over,yes,0.16685091
70-74,F,current,under,no,0.14024124
70-74,F,current,under,yes,0.08287140
70-74,F,former,normal,no,0.20160347
70-74,F,former,normal,yes,0.12271444
70-74,F,former,obese,no,0.41350357
70-74,F,former,obese,yes,0.28086593
70-74,F,former,over,no,0.26910544
70-74,F,former,over,yes,0.16940699
70-74,F,former,under,no,0.14245938
70-74,F,former,under,yes,0.08427109
70-74,F,never,normal,no,0.18325545
70-74,F,never,normal,yes,0.11055198
70-74,F,never,obese,no,0.38517422
70-74,F,never,obese,yes,0.25763196
70-74,F,never,over,no,0.24651084
70-74,F,never,over,yes,0.15342609
70-74,F,never,under,no,0.12862689
70-74,F,never,under,yes,0.07559052
70-74,M,current,normal,no,0.24374238
70-74,M,current,normal,yes,0.15149284
70-74,M,current,obese,no,0.47365739
70-74,M,current,obese,yes,0.33266904
70-74,M,current,over,no,0.31970375
70-74,M,current,over,yes,0.20655730
70-74,M,current,under,no,0.17494488
70-74,M,current,under,yes,0.10511416
70-74,M,former,normal,no,0.24712701
70-74,M,former,normal,yes,0.15385710
70-74,M,former,obese,no,0.47821581
70-74,M,former,obese,yes,0.33673868
70-74,M,former,over,no,0.32369172
70-74,M,former,over,yes,0.20956867
70-74,M,former,under,no,0.17759853
70-74,M,former,under,yes,0.10684576
70-74,M,never,normal,no,0.22580765
70-74,M,never,normal,yes,0.13909743
70-74,M,never,obese,no,0.44884594
70-74,M,never,obese,yes,0.31088083
70-74,M,never,over,no,0.29838501
70-74,M,never,over,yes,0.19066884
70-74,M,never,under,no,0.16099467
70-74,M,never,under,yes,0.09608382
75-79,F,current,normal,no,0.21976120
75-79,F,current,normal,yes,0.13496804
75-79,F,current,obese,no,0.44022318
75-79,F,current,obese,yes,0.30344925
75-79,F,current,over,no,0.29112596
75-79,F,current,over,yes,0.18533806
75-79,F,current,under,no,0.15633327
75-79,F,current,under,yes,0.09309330
75-79,F,former,normal,no,0.22291099
75-79,F,former,normal,yes,0.13711608
75-79,F,former,obese,no,0.44473171
75-79,F,former,obese,yes,0.30732606
75-79,F,former,over,no,0.29491198
75-79,F,former,over,yes,0.18811341
75-79,F,former,under,no,0.15875893
75-79,F,former,under,yes,0.09464781
75-79,F,never,normal,no,0.20311710
75-79,F,never,normal,yes,0.12372756
75-79,F,never,obese,no,0.41577961
75-79,F,never,obese,yes,0.28276389
75-79,F,never,over,no,0.27095387
75-79,F,never,over,yes,0.17073058
75-79,F,never,under,no,0.14360883
75-79,F,never,under,yes,0.08499757
75-79,M,current,normal,no,0.26800854
75-79,M,current,normal,yes,0.16862272
75-79,M,current,obese,no,0.50551281
75-79,M,current,obese,yes,0.36155583
75-79,M,current,over,no,0.34805190
75-79,M,current,over,yes,0.22823871
75-79,M,current,under,no,0.19411989
75-79,M,current,under,yes,0.11772744
75-79,M,former,normal,no,0.27160912
75-79,M,former,normal,yes,0.17120037
75-79,M,former,obese,no,0.51008070
75-79,M,former,obese,yes,0.36578515
75-79,M,former,over,no,0.35221041
75-79,M,former,over,yes,0.23147395
75-79,M,former,under,no,0.19699496
75-79,M,former,under,yes,0.11963904
75-79,M,never,normal,no,0.24887588
75-79,M,never,normal,yes,0.15508188
75-79,M,never,obese,no,0.48055620
75-79,M,never,obese,yes,0.33883630
75-79,M,never,over,no,0.32574798
75-79,M,never,over,yes,0.21112628
75-79,M,never,under,no,0.17897233
75-79,M,never,under,yes,0.10774396
80-99,F,current,normal,no,0.19521192
80-99,F,current,normal,yes,0.11845289
80-99,F,current,obese,no,0.40379167
80-99,F,current,obese,yes,0.27282016
80-99,F,current,over,no,0.26127416
80-99,F,current,over,yes,0.16382674
80-99,F,current,under,no,0.13761970
80-99,F,current,under,yes,0.08122097
80-99,F,former,normal,no,0.19809918
80-99,F,former,normal,yes,0.12037466
80-99,F,former,obese,no,0.40819917
80-99,F,former,obese,yes,0.27646097
80-99,F,former,over,no,0.26481700
80-99,F,former,over,yes,0.16634574
80-99,F,former,under,no,0.13980313
80-99,F,former,under,yes,0.08259529
80-99,F,never,normal,no,0.17999818
80-99,F,never,normal,yes,0.10841544
80-99,F,never,obese,no,0.37999778
80-99,F,never,obese,yes,0.25346295
80-99,F,never,over,no,0.24246302
80-99,F,never,over,yes,0.15060126
80-99,F,never,under,no,0.12619060
80-99,F,never,under,yes,0.07407338
80-99,M,current,normal,no,0.23972556
80-99,M,current,normal,yes,0.14869736
80-99,M,current,obese,no,0.46819735
80-99,M,current,obese,yes,0.32782198
80-99,M,current,over,no,0.31495645
80-99,M,current,over,yes,0.20298879
80-99,M,current,under,no,0.17180426
80-99,M,current,under,yes,0.10307054
80-99,M,former,normal,no,0.24307234
80-99,M,former,normal,yes,0.15102575
80-99,M,former,obese,no,0.47275042
80-99,M,former,obese,yes,0.33186182
80-99,M,former,over,no,0.31891295
80-99,M,former,over,yes,0.20596164
80-99,M,former,under,no,0.17442034
80-99,M,former,under,yes,0.10477241
80-99,M,never,normal,no,0.22199962
80-99,M,never,normal,yes,0.13649388
80-99,M,never,obese,no,0.44343094
80-99,M,never,obese,yes,0.30620556
80-99,M,never,over,no,0.29381755
80-99,M,never,over,yes,0.18731003
80-99,M,never,under,no,0.15805650
80-99,M,never,under,yes,0.09419728
