InvoiceNumber,PaidDate,DueDate,RunDate,PremiumSubTotal,PaymentMethod,PaymentDate,RemittanceFreq,BillingAccount_BillingAccountID,InvoiceID
INV99732901,2022-03-19,2022-03-19,2022-03-19,794.16,ACH,2022-03-19,Annual,256,78
INV60735517,2022-03-20,2022-03-20,2022-03-20,2439.34,Check,2022-03-20,Quarterly,32,79
INV60708961,2022-03-21,2022-03-21,2022-03-21,2230.47,ACH,2022-03-21,Annual,142,80
INV76053470,,2022-03-22,2022-03-22,2273.57,Check,,Annual,36,81
INV83883806,2022-03-23,2022-03-23,2022-03-23,2249.95,Check,2022-03-23,Quarterly,94,82
INV43933717,2022-03-24,2022-03-24,2022-03-24,1953.84,Check,2022-03-24,Monthly,221,83
INV06347473,2022-03-25,2022-03-25,2022-03-25,2229.9,Check,2022-03-25,Monthly,77,84
INV80960874,,2022-03-26,2022-03-26,967.3,Check,,Quarterly,269,85
INV59657876,2022-03-27,2022-03-27,2022-03-27,843.1,ACH,2022-03-27,Annual,194,86
INV67945013,2022-03-28,2022-03-28,2022-03-28,2150.29,Check,2022-03-28,Annual,106,87
INV13506245,2022-03-29,2022-03-29,2022-03-29,1311.31,Card,2022-03-29,Annual,228,88
INV77354691,,2022-03-30,2022-03-30,2281.13,Check,,Annual,199,89
INV47630358,2022-03-31,2022-03-31,2022-03-31,2769.65,Card,2022-03-31,Annual,252,90
INV94954272,2022-04-01,2022-04-01,2022-04-01,291.38,Check,2022-04-01,Quarterly,63,91
INV69892145,2022-04-02,2022-04-02,2022-04-02,2370.15,ACH,2022-04-02,Monthly,208,92
INV57709025,,2022-04-03,2022-04-03,419.14,Check,,Monthly,135,93
INV72617556,2022-04-04,2022-04-04,2022-04-04,2021.0,ACH,2022-04-04,Quarterly,118,94
INV30183044,2022-04-05,2022-04-05,2022-04-05,660.63,Card,2022-04-05,Monthly,158,95
INV95540164,2022-04-06,2022-04-06,2022-04-06,2691.87,Card,2022-04-06,Annual,78,96
INV12208682,,2022-04-07,2022-04-07,1725.77,Check,,Annual,101,97
INV05664203,2022-04-08,2022-04-08,2022-04-08,2099.8,Check,2022-04-08,Annual,169,98
INV94609508,2022-04-09,2022-04-09,2022-04-09,2600.61,Card,2022-04-09,Quarterly,290,99
INV02941793,2022-04-10,2022-04-10,2022-04-10,1957.14,ACH,2022-04-10,Quarterly,56,100
INV52389411,,2022-04-11,2022-04-11,816.63,Check,,Quarterly,32,101
INV36993512,2022-04-12,2022-04-12,2022-04-12,132.45,ACH,2022-04-12,Quarterly,212,102
INV86967674,2022-04-13,2022-04-13,2022-04-13,2866.94,Card,2022-04-13,Monthly,234,103
INV90700990,2022-04-14,2022-04-14,2022-04-14,1032.63,Card,2022-04-14,Quarterly,89,104
INV64408475,,2022-04-15,2022-04-15,2899.46,ACH,,Quarterly,230,105
INV86782445,2022-04-16,2022-04-16,2022-04-16,2375.11,Card,2022-04-16,Monthly,263,106
INV13142712,2022-04-17,2022-04-17,2022-04-17,750.05,Check,2022-04-17,Quarterly,150,107
INV31153088,2022-04-18,2022-04-18,2022-04-18,1286.3,Check,2022-04-18,Annual,277,108
INV64132581,,2022-04-19,2022-04-19,2702.16,Check,,Monthly,27,109
INV76180530,2022-04-20,2022-04-20,2022-04-20,1548.31,Check,2022-04-20,Annual,238,110
INV72695457,2022-04-21,2022-04-21,2022-04-21,113.66,Card,2022-04-21,Quarterly,7,111
INV65123281,2022-04-22,2022-04-22,2022-04-22,2989.64,Card,2022-04-22,Annual,34,112
INV99836254,,2022-04-23,2022-04-23,95.85,ACH,,Quarterly,94,113
INV29079561,2022-04-24,2022-04-24,2022-04-24,1739.23,ACH,2022-04-24,Annual,152,114
INV36190492,2022-04-25,2022-04-25,2022-04-25,183.44,ACH,2022-04-25,Quarterly,203,115
INV34786556,2022-04-26,2022-04-26,2022-04-26,2388.39,Card,2022-04-26,Quarterly,290,116
INV29958229,,2022-04-27,2022-04-27,872.99,ACH,,Annual,42,117
INV23389075,2022-04-28,2022-04-28,2022-04-28,2177.14,Check,2022-04-28,Monthly,279,118
INV06593186,2022-04-29,2022-04-29,2022-04-29,834.17,Check,2022-04-29,Quarterly,299,119
INV62616710,2022-04-30,2022-04-30,2022-04-30,1527.03,ACH,2022-04-30,Monthly,151,120
INV31806293,,2022-05-01,2022-05-01,1254.26,ACH,,Annual,259,121
INV27627340,2022-05-02,2022-05-02,2022-05-02,576.48,Card,2022-05-02,Quarterly,117,122
INV91562446,2022-05-03,2022-05-03,2022-05-03,1616.9,Check,2022-05-03,Quarterly,209,123
INV09625690,2022-05-04,2022-05-04,2022-05-04,1926.38,ACH,2022-05-04,Quarterly,144,124
INV84269100,,2022-05-05,2022-05-05,2871.81,ACH,,Monthly,196,125
INV81646287,2022-05-06,2022-05-06,2022-05-06,1813.97,ACH,2022-05-06,Monthly,289,126
INV91719702,2022-05-07,2022-05-07,2022-05-07,1561.48,ACH,2022-05-07,Monthly,209,127
INV78360002,2022-05-08,2022-05-08,2022-05-08,2777.23,Check,2022-05-08,Annual,289,128
INV46500830,,2022-05-09,2022-05-09,97.18,ACH,,Quarterly,136,129
INV03056771,2022-05-10,2022-05-10,2022-05-10,412.71,Check,2022-05-10,Quarterly,64,130
INV38787639,2022-05-11,2022-05-11,2022-05-11,982.5,Check,2022-05-11,Quarterly,142,131
INV19202783,2022-05-12,2022-05-12,2022-05-12,2070.22,ACH,2022-05-12,Monthly,278,132
INV72269734,,2022-05-13,2022-05-13,592.37,ACH,,Annual,258,133
INV31235228,2022-05-14,2022-05-14,2022-05-14,1313.63,Card,2022-05-14,Quarterly,163,134
INV44705654,2022-05-15,2022-05-15,2022-05-15,1092.01,ACH,2022-05-15,Annual,44,135
INV40513339,2022-05-16,2022-05-16,2022-05-16,1152.8,ACH,2022-05-16,Monthly,261,136
INV80724517,,2022-05-17,2022-05-17,1137.18,ACH,,Annual,212,137
INV52301101,2022-05-18,2022-05-18,2022-05-18,1086.7,ACH,2022-05-18,Annual,213,138
INV23944952,2022-05-19,2022-05-19,2022-05-19,1713.52,Card,2022-05-19,Monthly,179,139
INV01025918,2022-05-20,2022-05-20,2022-05-20,347.89,Check,2022-05-20,Quarterly,23,140
INV17745716,,2022-05-21,2022-05-21,1037.35,Check,,Monthly,128,141
INV82288023,2022-05-22,2022-05-22,2022-05-22,2941.57,Card,2022-05-22,Quarterly,181,142
INV61226348,2022-05-23,2022-05-23,2022-05-23,2441.96,ACH,2022-05-23,Monthly,88,143
INV89828890,2022-05-24,2022-05-24,2022-05-24,2472.45,Check,2022-05-24,Monthly,261,144
INV70897983,,2022-05-25,2022-05-25,2699.92,Check,,Quarterly,47,145
INV23405473,2022-05-26,2022-05-26,2022-05-26,270.94,ACH,2022-05-26,Monthly,101,146
INV61275926,2022-05-27,2022-05-27,2022-05-27,1696.74,Check,2022-05-27,Quarterly,225,147
INV22631273,2022-05-28,2022-05-28,2022-05-28,574.08,Card,2022-05-28,Annual,51,148
INV52420478,,2022-05-29,2022-05-29,193.87,Check,,Quarterly,146,149
INV70481291,2022-05-30,2022-05-30,2022-05-30,2880.45,Check,2022-05-30,Monthly,230,150
INV34276925,2022-05-31,2022-05-31,2022-05-31,2882.03,ACH,2022-05-31,Quarterly,20,151
INV93157229,2022-06-01,2022-06-01,2022-06-01,1333.33,Card,2022-06-01,Quarterly,39,152
INV49447146,,2022-06-02,2022-06-02,2274.48,ACH,,Annual,167,153
INV51046026,2022-06-03,2022-06-03,2022-06-03,2541.43,Check,2022-06-03,Monthly,125,154
INV61838161,2022-06-04,2022-06-04,2022-06-04,2837.99,Check,2022-06-04,Quarterly,173,155
INV46046472,2022-06-05,2022-06-05,2022-06-05,747.93,ACH,2022-06-05,Annual,262,156
INV97221992,,2022-06-06,2022-06-06,1887.24,ACH,,Annual,102,157
INV67293077,2022-06-07,2022-06-07,2022-06-07,762.79,ACH,2022-06-07,Monthly,236,158
INV90337840,2022-06-08,2022-06-08,2022-06-08,1001.64,Check,2022-06-08,Annual,96,159
INV48692959,2022-06-09,2022-06-09,2022-06-09,2718.53,ACH,2022-06-09,Monthly,97,160
INV31346590,,2022-06-10,2022-06-10,2215.06,Card,,Annual,242,161
INV66594527,2022-06-11,2022-06-11,2022-06-11,443.26,Card,2022-06-11,Annual,215,162
INV93886261,2022-06-12,2022-06-12,2022-06-12,266.89,Card,2022-06-12,Quarterly,71,163
INV06274823,2022-06-13,2022-06-13,2022-06-13,586.88,Check,2022-06-13,Quarterly,89,164
INV73928902,,2022-06-14,2022-06-14,923.83,Check,,Monthly,19,165
INV46882187,2022-06-15,2022-06-15,2022-06-15,1921.09,Check,2022-06-15,Monthly,127,166
INV47333541,2022-06-16,2022-06-16,2022-06-16,367.15,Check,2022-06-16,Monthly,231,167
INV51032508,2022-06-17,2022-06-17,2022-06-17,1090.03,Card,2022-06-17,Monthly,89,168
INV98299947,,2022-06-18,2022-06-18,586.33,Check,,Quarterly,30,169
INV71181028,2022-06-19,2022-06-19,2022-06-19,422.92,ACH,2022-06-19,Quarterly,217,170
INV99297633,2022-06-20,2022-06-20,2022-06-20,2253.25,ACH,2022-06-20,Annual,284,171
INV58898288,2022-06-21,2022-06-21,2022-06-21,168.14,Check,2022-06-21,Quarterly,38,172
INV78374050,,2022-06-22,2022-06-22,1162.91,Card,,Quarterly,202,173
INV31164924,2022-06-23,2022-06-23,2022-06-23,2672.3,Check,2022-06-23,Quarterly,276,174
INV38220661,2022-06-24,2022-06-24,2022-06-24,715.4,Check,2022-06-24,Quarterly,245,175
INV07882007,2022-06-25,2022-06-25,2022-06-25,2619.08,Card,2022-06-25,Quarterly,45,176
INV48233821,,2022-06-26,2022-06-26,1937.79,Check,,Annual,123,177
INV05336415,2022-06-27,2022-06-27,2022-06-27,2742.32,ACH,2022-06-27,Annual,7,178
INV24936098,2022-06-28,2022-06-28,2022-06-28,2134.39,ACH,2022-06-28,Monthly,294,179
INV31548432,2022-06-29,2022-06-29,2022-06-29,2851.4,Card,2022-06-29,Annual,32,180
INV93442564,,2022-06-30,2022-06-30,2633.92,Card,,Monthly,246,181
INV76922004,2022-07-01,2022-07-01,2022-07-01,1674.9,Check,2022-07-01,Quarterly,277,182
INV96340076,2022-07-02,2022-07-02,2022-07-02,1241.11,Card,2022-07-02,Quarterly,218,183
INV03229118,2022-07-03,2022-07-03,2022-07-03,1472.1,Card,2022-07-03,Monthly,143,184
INV25075396,,2022-07-04,2022-07-04,2214.14,Card,,Monthly,119,185
INV36946965,2022-07-05,2022-07-05,2022-07-05,2521.82,ACH,2022-07-05,Annual,187,186
INV06567501,2022-07-06,2022-07-06,2022-07-06,77.42,ACH,2022-07-06,Monthly,66,187
INV31118538,2022-07-07,2022-07-07,2022-07-07,2126.8,ACH,2022-07-07,Annual,231,188
INV05316208,,2022-07-08,2022-07-08,850.98,ACH,,Annual,193,189
INV81669377,2022-07-09,2022-07-09,2022-07-09,831.36,ACH,2022-07-09,Monthly,161,190
INV07269178,2022-07-10,2022-07-10,2022-07-10,1104.45,ACH,2022-07-10,Quarterly,213,191
INV01864540,2022-07-11,2022-07-11,2022-07-11,2269.82,Card,2022-07-11,Monthly,3,192
INV14680783,,2022-07-12,2022-07-12,1236.27,ACH,,Annual,125,193
INV55354279,2022-07-13,2022-07-13,2022-07-13,726.36,Check,2022-07-13,Annual,69,194
INV22332485,2022-07-14,2022-07-14,2022-07-14,967.34,Card,2022-07-14,Annual,134,195
INV90758408,2022-07-15,2022-07-15,2022-07-15,981.54,Check,2022-07-15,Quarterly,115,196
INV98697206,,2022-07-16,2022-07-16,301.73,ACH,,Monthly,212,197
INV29517248,2022-07-17,2022-07-17,2022-07-17,2453.53,Check,2022-07-17,Annual,111,198
INV76962805,2022-07-18,2022-07-18,2022-07-18,2865.45,Card,2022-07-18,Quarterly,212,199
INV20712831,2022-07-19,2022-07-19,2022-07-19,736.06,Card,2022-07-19,Annual,14,200
INV99832122,,2022-07-20,2022-07-20,2565.02,Card,,Monthly,49,201
INV62103541,2022-07-21,2022-07-21,2022-07-21,1954.22,Check,2022-07-21,Monthly,7,202
INV10868340,2022-07-22,2022-07-22,2022-07-22,1693.01,ACH,2022-07-22,Annual,228,203
INV91743297,2022-07-23,2022-07-23,2022-07-23,2864.19,ACH,2022-07-23,Monthly,9,204
INV60233120,,2022-07-24,2022-07-24,839.17,Card,,Quarterly,170,205
INV85248893,2022-07-25,2022-07-25,2022-07-25,574.62,Check,2022-07-25,Quarterly,31,206
INV97218270,2022-07-26,2022-07-26,2022-07-26,2984.52,Card,2022-07-26,Annual,260,207
INV44688389,2022-07-27,2022-07-27,2022-07-27,692.83,Check,2022-07-27,Quarterly,61,208
INV20908018,,2022-07-28,2022-07-28,679.83,ACH,,Monthly,209,209
INV45000907,2022-07-29,2022-07-29,2022-07-29,1994.2,Check,2022-07-29,Quarterly,213,210
INV93800302,2022-07-30,2022-07-30,2022-07-30,2003.67,Check,2022-07-30,Annual,117,211
INV57552031,2022-07-31,2022-07-31,2022-07-31,683.04,Card,2022-07-31,Annual,138,212
INV17940760,,2022-08-01,2022-08-01,2483.88,Check,,Annual,198,213
INV66108647,2022-08-02,2022-08-02,2022-08-02,2624.9,ACH,2022-08-02,Monthly,180,214
INV82463304,2022-08-03,2022-08-03,2022-08-03,1491.34,ACH,2022-08-03,Quarterly,131,215
INV21307520,2022-08-04,2022-08-04,2022-08-04,2092.82,ACH,2022-08-04,Quarterly,262,216
INV33071145,,2022-08-05,2022-08-05,2250.37,Card,,Monthly,300,217
INV16469524,2022-08-06,2022-08-06,2022-08-06,1644.22,Check,2022-08-06,Monthly,124,218
INV70197001,2022-08-07,2022-08-07,2022-08-07,1959.76,Check,2022-08-07,Quarterly,297,219
INV53408134,2022-08-08,2022-08-08,2022-08-08,681.17,Card,2022-08-08,Monthly,47,220
INV22490000,,2022-08-09,2022-08-09,2719.99,Check,,Quarterly,45,221
INV92042375,2022-08-10,2022-08-10,2022-08-10,2792.89,ACH,2022-08-10,Monthly,134,222
INV32845282,2022-08-11,2022-08-11,2022-08-11,747.8,Check,2022-08-11,Monthly,192,223
INV96893173,2022-08-12,2022-08-12,2022-08-12,2995.48,ACH,2022-08-12,Monthly,158,224
INV85974814,,2022-08-13,2022-08-13,2186.76,ACH,,Annual,29,225
INV33468773,2022-08-14,2022-08-14,2022-08-14,669.35,ACH,2022-08-14,Annual,209,226
INV78152006,2022-08-15,2022-08-15,2022-08-15,2681.04,Check,2022-08-15,Quarterly,282,227
INV53442739,2022-08-16,2022-08-16,2022-08-16,2654.18,Check,2022-08-16,Quarterly,250,228
INV68119512,,2022-08-17,2022-08-17,457.12,Check,,Monthly,248,229
INV31589689,2022-08-18,2022-08-18,2022-08-18,2996.07,Check,2022-08-18,Monthly,38,230
INV85864307,2022-08-19,2022-08-19,2022-08-19,1585.14,ACH,2022-08-19,Annual,7,231
INV79018948,2022-08-20,2022-08-20,2022-08-20,243.43,ACH,2022-08-20,Quarterly,190,232
INV89931608,,2022-08-21,2022-08-21,1127.44,Card,,Quarterly,216,233
INV54188981,2022-08-22,2022-08-22,2022-08-22,310.73,ACH,2022-08-22,Quarterly,148,234
INV09658329,2022-08-23,2022-08-23,2022-08-23,2421.25,ACH,2022-08-23,Annual,196,235
INV72872481,2022-08-24,2022-08-24,2022-08-24,2521.74,ACH,2022-08-24,Monthly,236,236
INV17290379,,2022-08-25,2022-08-25,1998.37,ACH,,Quarterly,47,237
INV54724248,2022-08-26,2022-08-26,2022-08-26,764.99,Check,2022-08-26,Monthly,199,238
INV52971238,2022-08-27,2022-08-27,2022-08-27,1164.54,Check,2022-08-27,Annual,47,239
INV44012180,2022-08-28,2022-08-28,2022-08-28,2220.22,Card,2022-08-28,Quarterly,265,240
INV71544337,,2022-08-29,2022-08-29,673.36,ACH,,Annual,158,241
INV66061252,2022-08-30,2022-08-30,2022-08-30,2915.61,Check,2022-08-30,Monthly,266,242
INV68038457,2022-08-31,2022-08-31,2022-08-31,968.62,Card,2022-08-31,Annual,75,243
INV05250187,2022-09-01,2022-09-01,2022-09-01,2679.71,ACH,2022-09-01,Quarterly,59,244
INV31033829,,2022-09-02,2022-09-02,1995.65,Check,,Monthly,52,245
INV46000389,2022-09-03,2022-09-03,2022-09-03,2527.93,ACH,2022-09-03,Quarterly,259,246
INV31262393,2022-09-04,2022-09-04,2022-09-04,453.39,ACH,2022-09-04,Quarterly,141,247
INV07331931,2022-09-05,2022-09-05,2022-09-05,1209.92,ACH,2022-09-05,Quarterly,273,248
INV92097831,,2022-09-06,2022-09-06,1941.87,ACH,,Quarterly,189,249
INV92368591,2022-09-07,2022-09-07,2022-09-07,907.23,ACH,2022-09-07,Monthly,290,250
INV34861050,2022-09-08,2022-09-08,2022-09-08,876.14,Check,2022-09-08,Monthly,198,251
INV31659183,2022-09-09,2022-09-09,2022-09-09,1433.61,Check,2022-09-09,Quarterly,229,252
INV88923754,,2022-09-10,2022-09-10,62.54,ACH,,Monthly,147,253
INV80016592,2022-09-11,2022-09-11,2022-09-11,1661.08,Check,2022-09-11,Monthly,87,254
INV70674045,2022-09-12,2022-09-12,2022-09-12,1183.91,ACH,2022-09-12,Quarterly,288,255
INV77283629,2022-09-13,2022-09-13,2022-09-13,783.42,Card,2022-09-13,Monthly,84,256
INV50528282,,2022-09-14,2022-09-14,2644.2,Check,,Annual,223,257
INV28064083,2022-09-15,2022-09-15,2022-09-15,1014.29,Card,2022-09-15,Monthly,271,258
INV73676363,2022-09-16,2022-09-16,2022-09-16,389.43,ACH,2022-09-16,Monthly,164,259
INV14466335,2022-09-17,2022-09-17,2022-09-17,1582.45,Card,2022-09-17,Annual,197,260
INV90893357,,2022-09-18,2022-09-18,1108.39,Check,,Annual,249,261
INV77196172,2022-09-19,2022-09-19,2022-09-19,2320.95,Card,2022-09-19,Quarterly,20,262
INV90982051,2022-09-20,2022-09-20,2022-09-20,1928.91,Card,2022-09-20,Quarterly,105,263
INV51096879,2022-09-21,2022-09-21,2022-09-21,865.52,Check,2022-09-21,Quarterly,77,264
INV50056646,,2022-09-22,2022-09-22,2309.19,Check,,Monthly,101,265
INV07902726,2022-09-23,2022-09-23,2022-09-23,1754.51,Card,2022-09-23,Annual,148,266
INV96954476,2022-09-24,2022-09-24,2022-09-24,2384.48,Card,2022-09-24,Quarterly,83,267
INV37527648,2022-09-25,2022-09-25,2022-09-25,1755.92,ACH,2022-09-25,Quarterly,136,268
INV74293297,,2022-09-26,2022-09-26,2873.5,Check,,Annual,249,269
INV35031797,2022-09-27,2022-09-27,2022-09-27,1387.09,ACH,2022-09-27,Annual,129,270
INV20956546,2022-09-28,2022-09-28,2022-09-28,2248.91,Check,2022-09-28,Quarterly,269,271
INV14415853,2022-09-29,2022-09-29,2022-09-29,2666.0,Check,2022-09-29,Annual,46,272
INV91633651,,2022-09-30,2022-09-30,943.59,ACH,,Annual,36,273
INV87034665,2022-10-01,2022-10-01,2022-10-01,832.94,ACH,2022-10-01,Annual,197,274
INV19617857,2022-10-02,2022-10-02,2022-10-02,118.98,Card,2022-10-02,Quarterly,189,275
INV90049237,2022-10-03,2022-10-03,2022-10-03,1424.31,ACH,2022-10-03,Monthly,146,276
INV58616056,,2022-10-04,2022-10-04,391.98,ACH,,Quarterly,174,277
INV97493563,2022-10-05,2022-10-05,2022-10-05,208.44,Check,2022-10-05,Monthly,6,278
INV52480413,2022-10-06,2022-10-06,2022-10-06,2037.78,Card,2022-10-06,Monthly,118,279
INV40315690,2022-10-07,2022-10-07,2022-10-07,1522.51,ACH,2022-10-07,Monthly,274,280
INV53856714,,2022-10-08,2022-10-08,2409.33,ACH,,Quarterly,287,281
INV91577465,2022-10-09,2022-10-09,2022-10-09,2652.63,ACH,2022-10-09,Annual,274,282
INV15912246,2022-10-10,2022-10-10,2022-10-10,309.23,Card,2022-10-10,Quarterly,68,283
INV64061013,2022-10-11,2022-10-11,2022-10-11,2268.14,ACH,2022-10-11,Quarterly,158,284
INV20113645,,2022-10-12,2022-10-12,220.74,ACH,,Annual,127,285
INV02667853,2022-10-13,2022-10-13,2022-10-13,1293.61,Check,2022-10-13,Quarterly,225,286
INV83373360,2022-10-14,2022-10-14,2022-10-14,1246.57,Card,2022-10-14,Quarterly,149,287
