ContractID,WellnessProgramID,EnrollDate,Status
46,2,2022-05-21,Lapsed
497,1,2022-05-22,Active
186,1,2022-05-23,Complete
213,4,2022-05-24,Active
399,4,2022-05-25,Complete
442,1,2022-05-26,Active
160,4,2022-05-27,Lapsed
159,1,2022-05-28,Active
357,4,2022-05-29,Lapsed
3,2,2022-05-30,Active
82,3,2022-05-31,Lapsed
498,4,2022-06-01,Complete
152,2,2022-06-02,Complete
321,2,2022-06-03,Complete
270,3,2022-06-04,Active
367,1,2022-06-05,Complete
369,2,2022-06-06,Lapsed
81,5,2022-06-07,Complete
435,4,2022-06-08,Lapsed
114,3,2022-06-09,Lapsed
114,4,2022-06-10,Lapsed
62,1,2022-06-11,Complete
357,2,2022-06-12,Lapsed
170,1,2022-06-13,Active
369,5,2022-06-14,Complete
240,4,2022-06-15,Lapsed
234,4,2022-06-16,Lapsed
266,2,2022-06-17,Lapsed
20,4,2022-06-18,Active
258,5,2022-06-19,Complete
155,1,2022-06-20,Complete
222,4,2022-06-21,Active
28,1,2022-06-22,Lapsed
136,2,2022-06-23,Lapsed
423,1,2022-06-24,Complete
277,2,2022-06-25,Complete
202,1,2022-06-26,Lapsed
453,1,2022-06-27,Complete
78,1,2022-06-28,Complete
353,3,2022-06-29,Lapsed
437,1,2022-06-30,Complete
472,4,2022-07-01,Lapsed
6,4,2022-07-02,Lapsed
410,2,2022-07-03,Active
56,5,2022-07-04,Lapsed
74,5,2022-07-05,Complete
188,5,2022-07-06,Lapsed
93,1,2022-07-07,Active
362,2,2022-07-08,Lapsed
176,2,2022-07-09,Active
252,4,2022-07-10,Lapsed
349,5,2022-07-11,Lapsed
467,4,2022-07-12,Active
25,2,2022-07-13,Lapsed
110,1,2022-07-14,Lapsed
178,2,2022-07-15,Lapsed
196,4,2022-07-16,Active
403,3,2022-07-17,Active
254,4,2022-07-18,Active
153,1,2022-07-19,Lapsed
